pmid	title	journal
33375843	The Significance of Antiseptic Techniques During the COVID-19 Pandemic: Joseph Lister's Historical Contribution to Surgery.	Am Surg
33375763	The Italian COVID-19 Psychological Research Consortium (IT C19PRC): General Overview and Replication of the UK Study.	J Clin Med
33375707	The Role of Methemoglobin and Carboxyhemoglobin in COVID-19: A Review.	J Clin Med
33375692	Nutraceutical Strategies for Suppressing NLRP3 Inflammasome Activation: Pertinence to the Management of COVID-19 and Beyond.	Nutrients
33375677	Platforms Exploited for SARS-CoV-2 Vaccine Development.	Vaccines (Basel)
33375676	Cardiovascular Comorbidities and Pharmacological Treatments of COVID-19 Patients Not Requiring Hospitalization.	Int J Environ Res Public Health
33375208	Development of Case Numbers during the COVID-19 Pandemic in a Center of Maximum-Care for Traumatology and Orthopedic Oncology.	Healthcare (Basel)
33375194	Infections and Immunotherapy in Lung Cancer: A Bad Relationship?	Int J Mol Sci
33375175	C-type Lectin CD209L/L-SIGN and CD209/DC-SIGN: Cell Adhesion Molecules Turned to Pathogen Recognition Receptors.	Biology (Basel)
33375158	Impact of the First COVID-19 Lockdown on Management of Pet Dogs in the UK.	Animals (Basel)
33375155	Plant-Based Vaccines: The Way Ahead?	Viruses
33375040	Triage of Patients Suspected of COVID-19 in Chronic Hemodialysis: Eosinophil Count Differentiates Low and High Suspicion of COVID-19.	J Clin Med
33374998	Measles and Rubella during COVID-19 Pandemic: Future Challenges in Japan.	Int J Environ Res Public Health
33374149	Fucoidan and Lung Function: Value in Viral Infection.	Mar Drugs
33374131	Clinical Presentation, Course, and Risk Factors Associated with Mortality in a Severe Outbreak of COVID-19 in Rhode Island, USA, April-June 2020.	Pathogens
33374109	Physical Activity Recommendations during COVID-19: Narrative Review.	Int J Environ Res Public Health
33374092	Reflections as 2020 comes to an end: the editing and educational environment during the COVID-19 pandemic, the power of Scopus and Web of Science in scholarly publishing, journal statistics, and appreciation to reviewers and volunteers.	J Educ Eval Health Prof
33374002	Predictors of hospital-acquired bacterial and fungal superinfections in COVID-19: a prospective observational study.	J Antimicrob Chemother
33373996	Problems and Solutions Due to Mental Anxiety of IT Professionals Work at Home during COVID-19.	Psychiatr Danub
33373995	Prospective Impact of COVID-19 on Adolescents: Guidelines for Interventions.	Psychiatr Danub
33373994	From Lockdown to Release: The Impact of Different Phases of COVID-19 Pandemic on People Suffering from Psychiatric Disorders.	Psychiatr Danub
33373993	Mental Health Situation in Pakistan during the COVID-19 Pandemic.	Psychiatr Danub
33373992	Mental Health Crisis in Pregnant Women during Current COVID-19 Pandemic.	Psychiatr Danub
33373991	Parental Mental Health Crisis during COVID-19 Pandemic.	Psychiatr Danub
33373990	Meeting the Unmet Mental Health Needs during COVID-19: Where Does Telemedicine Stands during These Times in India?	Psychiatr Danub
33373989	Pandemic Events and Psychiatry: Some Specificities and Singularities in COVID-19.	Psychiatr Danub
33373988	Psychosocial Consequences of COVID-19 on Sex Workers: A Global Perspective.	Psychiatr Danub
33373987	The Post-Traumatic Stress Disorder Impact of the COVID-19 Pandemic.	Psychiatr Danub
33373925	Clinical characteristics and treatment outcome of COVID-19 patients with stroke in China: A multicenter retrospective study.	Phytomedicine
33373898	Air pollutant variations in Suzhou during the 2019 novel coronavirus (COVID-19) lockdown of 2020: High time-resolution measurements of aerosol chemical compositions and source apportionment.	Environ Pollut
33373874	Correlates of psychological distress in epileptic patients during the COVID-19 outbreak.	Epilepsy Behav
33373808	An overview of current mental health in the general population of Australia during the COVID-19 pandemic: Results from the COLLATE project.	Psychiatry Res
33373803	Pneumonia surveillance and its attendant clinical risk stratification for COVID-19 in low-risk patients.	Public Health
33373720	Airway management in patients with COVID-19: beyond the first endotracheal intubation.	Anaesth Crit Care Pain Med
33373693	Spike glycoproteins: Their significance for corona viruses and receptor binding activities for pathogenesis and viral survival.	Microb Pathog
33373681	COVID-19, ferrosenescence and neurodegeneration, a mini-review.	Prog Neuropsychopharmacol Biol Psychiatry
33373680	Younger people are more vulnerable to stress, anxiety and depression during COVID-19 pandemic: A global cross-sectional survey.	Prog Neuropsychopharmacol Biol Psychiatry
33373652	Prior SARS-CoV-2 infection is associated with protection against symptomatic reinfection.	J Infect
33373651	Sofosbuvir/daclatasvir in the treatment of COVID-19 infection: a meta-analysis.	J Infect
33373650	Post-COVID-19 functional status six-months after Hospitalization.: Functional status after COVID-19.	J Infect
